Name,Rank,Headquarter,CEO,Market Capitalization,Total No. Of Employee,Sectors,url
ALTRIA GROUP,127,USA,Howard Willard,92.43 Billion USD,"7,300","Consumer Defensive, Tobacco Products, Cigarettes, Beverages, Alcoholic Beverages, FMCG, Agriculture Products, Consumer Non Durables, Tobacco and Cigarette",https://value.today/company/altria-group
NTT DOCOMO,128,Japan,Kazuhiro Yoshizawa,91.41 Billion USD,"27,558","Communication Services, Telecom, Mobile Services, Telecom",https://value.today/company/ntt-docomo
SBERBANK OF RUSSIA,129,Russia,Herman Gref,90.33 Billion USD,"281,000","Financial Services, Banking Services, Asset Management, Wealth Management, Securities, Credit Cards, Insurance",https://value.today/company/sberbank-russia
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),130,China,,88.38 Billion USD,"402,206","Energy, Oil and Gas, Chemicals, Petrochemicals, Fertilizers, Natural Gas Generation, Lubricants",https://value.today/company/china-petroleum-chemical-corporation-sinopec
CSL,131,Australia,Paul Perreault,87.47 Billion USD,"25,000","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Technology",https://value.today/company/csl
STATE FARM,131,USA,,,"59,000","Insurance, Financial Services",https://value.today/company/state-farm
BOOKING HOLDINGS,132,USA,Glenn D. Fogel,87.41 Billion USD,"24,500","Consumer Cyclical, Internet or Mobile App Based Business, Travel and Transport, eCommerce, Business Services",https://value.today/company/booking-holdings
FIDELITY NATIONAL INFORMATION SERVICES,133,USA,Gary A. Norcross,86.29 Billion USD,"55,000","Technology, Software Products, Financial Services, Business Services, Software and IT",https://value.today/company/fidelity-national-information-services
KEYENCE CORPORATION,134,Japan,Akinori Yamamoto,85.88 Billion USD,"7,941","Technology, Sensors, Machinery Manufacturing, Technology Hardware, Electronics, Manufacturing",https://value.today/company/keyence-corporation
ITAU UNIBANCO HOLDING,136,Brazil,Candido Botelho Bracher,85.66 Billion USD,"94,881","Financial Services, Banking Services",https://value.today/company/itau-unibanco-holding
KERING,137,France,Francois-Henri Pin,84.01 Billion USD,"34,902","Consumer Cyclical, Luxury Goods, Leather Products, Clothing, Eyewear, Watches, Shoes, Footwear, eCommerce, Retail, Convenience Stores, FMCG, Consumer Goods, Fashion and Luxury Goods",https://value.today/company/kering
MORGAN STANLEY,138,USA,James P. Gorman,83.87 Billion USD,"60,431","Financial Services, Banking Services, Trading, Brokerage Services, Wealth Management, Investments, Asset Management, Stock Markets, Trading, Capital Markets",https://value.today/company/morgan-stanley
CATERPILLAR,139,USA,Jim Umpleby,82.90 Billion USD,"102,300","Industries, Agriculture Machinery, Machinery Manufacturing, Construction Equipment, Commercial Vehicles, Heavy Vehicles, Mining Equipment, Engines Manufacturing, Engineering Products, Capital Goods, Construction Materials, Mining, Manufacturing, Heavy Machinery",https://value.today/company/caterpillar
INGRAM MICRO,139,USA,,,"35,000","Logistics, Technology",https://value.today/company/ingram-micro
GILEAD SCIENCES,140,USA,Daniel O'Day,82.71 Billion USD,"11,800","Healthcare, Biotechnology, BioPharmaceuticals, Pharmaceutical, HealthCare Products, Technology",https://value.today/company/gilead-sciences
ENEL,141,Italy,Francesco Starace,82.06 Billion USD,"68,253","Utilities, Electric Utilities, Gas Utilities, Electricity Generation, Power Generation, Energy",https://value.today/company/enel
ENBRIDGE,142,Canada,Al Monaco,80.85 Billion USD,"13,000","Energy, Oil and Gas, Natural Gas Generation, Gas Utilities, Utilities, Renewable Energy, Electricity Generation, Solar Power, Wind Power, HydroElectric Power, Power Generation",https://value.today/company/enbridge
MONDELEZ INTERNATIONAL,143,USA,Dirk Van de Put,80.52 Billion USD,"80,000","Consumer Defensive, Food Products, Beverages, Non-Alcoholic Beverages, Dairy Products, Chocolate & Confectionery, FMCG, Consumer Non Durables, Food and Beverage",https://value.today/company/mondelez-international
TESLA,144,USA,Elon Musk,80.03 Billion USD,"70,757","Electric Vehicles, Cars, Automobile, Solar Power Devices, Capital Goods, Power Equipment, Technology",https://value.today/company/tesla
BLACKROCK,145,USA,Laurence D. Fink,79.27 Billion USD,"16,200","Financial Services, Asset Management, Investments",https://value.today/company/blackrock
KOCH INDUSTRIES,145,USA,,,"120,000","Energy, Oil and Gas, Metals, Mining, Chemicals, Fertilizers, Paper and Pulp, Plastics / Plastic Products, Commodities Trading",https://value.today/company/koch-industries
BYTEDANCE,145,China,,,"60,000","Technology, Social Media, Internet or Mobile App Based Business",https://value.today/company/bytedance
FISERV,146,USA,Jeffery W. Yabuki,79.16 Billion USD,"44,000","Financial Services, Software and IT, Digital Payment Solution Services, Technology, Software Products",https://value.today/company/fiserv
STRYKER CORPORATION,147,USA,Kevin A. Lobo,78.90 Billion USD,"40,000","Healthcare, Medical Equipment, HealthCare Products",https://value.today/company/stryker-corporation
MEITUAN DIANPING,148,China,Wang Xing,78.82 Billion USD,"54,580","Consumer Cyclical, Internet or Mobile App Based Business, Software and IT, Retail, eCommerce",https://value.today/company/meituan-dianping
HERMES INTERNATIONAL,149,France,Axel Dumas,78.34 Billion USD,"14,284","Consumer Cyclical, Luxury Goods, Retail, Fashion and Luxury Goods, Beauty and Personal Care, Home & Furniture, Home Furnishing, Shoes, Jewellery, Watches, Leather Products, FMCG, Consumer Goods",https://value.today/company/hermes-international
DEUTSCHE TELEKOM AG,150,Germany,Timotheus Hottges,78.32 Billion USD,"213,000","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Telecom",https://value.today/company/deutsche-telekom-ag
BAYER,151,Germany,Werner Baumann,78.09 Billion USD,"103,824","Healthcare, Pharmaceutical, Chemicals, HealthCare Products",https://value.today/company/bayer
ROSNEFT OIL COMPANY,152,Russia,Igor Sechin,78.00 Billion USD,"315,000","Energy, Oil and Gas, Petroleum, Petrochemicals, Natural Gas Generation, Oil Refining, Chemicals",https://value.today/company/rosneft-oil-company
CIGNA CORPORATION,153,USA,David Cordani,77.76 Billion USD,"73,700","Healthcare, Insurance, Healthcare Service, HealthCare Products",https://value.today/company/cigna-corporation
ANTHEM,154,USA,Gail Koziara Boudreaux,77.55 Billion USD,"70,600","Healthcare, Insurance, Financial Services, HealthCare Products",https://value.today/company/anthem
TRUIST FINANCIAL CORPORATION,155,USA,Kelly S. King,75.81 Billion USD,"59,000","Financial Services, Banking Services, Insurance, Mortgage",https://value.today/company/truist-financial-corporation
CNOOC LIMITED,156,China,Yang Hua,75.77 Billion USD,"18,703","Energy, Oil and Gas, Natural Gas Generation",https://value.today/company/cnooc
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),157,Saudi Arabia,Yousef Al-Benyan,75.65 Billion USD,"32,721","Basic Materials, Chemicals, Petrochemicals, Fertilizers",https://value.today/company/saudi-basic-industries-corporation-sabic-0
AMBEV,158,Brazil,Jean Jereissati,75.51 Billion USD,"51,352","Consumer Defensive, Beverages, Alcoholic Beverages, Non-Alcoholic Beverages, Beer, FMCG, Consumer Non Durables",https://value.today/company/ambev
NASPERS,159,South Africa,Bob van Dijk,75.05 Billion USD,"25,500","Communication Services, Internet or Mobile App Based Business, eCommerce, Gaming, Media, Advertising",https://value.today/company/naspers-0
BNP PARIBAS,160,France,Jean-Laurent Bonnafe,74.76 Billion USD,"198,816","Financial Services, Banking Services, Asset Management, Wealth Management, Mortgage",https://value.today/company/bnp-paribas
ESTEE LAUDER COMPANIES,161,USA,Fabrizio Freda,74.72 Billion USD,"48,000","Consumer Defensive, FMCG, Personal Care Products, Beauty and Personal Care, Cosmetics, Consumer Non Durables",https://value.today/company/estee-lauder-companies
TJX COMPANIES,162,USA,Ernie Herrman,74.35 Billion USD,"286,000","Consumer Cyclical, Retail, Clothing, Readymade Clothing, Footwear, Beauty and Personal Care, Home & Furniture, Jewellery, Consumer Services, Apparels and Accessories, Textile, FMCG",https://value.today/company/tjx-companies
BIOGEN,163,USA,Michel Vounatsos,73.92 Billion USD,"7,400","Healthcare, Biotechnology, HealthCare Products, Technology, Pharmaceutical",https://value.today/company/biogen
ROBERT BOSCH,163,Germany,,,"400,000","Technology, Engineering Products, Technology Hardware, Electronics, Automobile Parts, Home Appliances, Security Systems, Internet of Things, Cloud Services",https://value.today/company/robert-bosch
AUTOMATIC DATA PROCESSING (ADP),164,USA,Carlos A. Rodriguez,73.44 Billion USD,"58,000","Industries, Software Products, Software and IT, Technology, Outsourcing and Staffing",https://value.today/company/automatic-data-processing-adp
BECTON DICKINSON AND COMPANY,165,USA,Thomas Polen,73.44 Billion USD,"70,093","Healthcare, Medical Equipment, HealthCare Products, Medical Ventilators",https://value.today/company/becton-dickinson-and-company
CME GROUP,166,USA,Terrence A. Duffy,72.37 Billion USD,"4,500","Financial Services, Securities, Trading, Brokerage Services, Investments, Stock Markets, Trading, Capital Markets",https://value.today/company/cme-group
CONOCOPHILLIPS COMPANY,167,USA,Ryan Lance,72.09 Billion USD,"10,400","Energy, Oil and Gas, Natural Gas Generation, Petroleum, Coal Mining, Mining",https://value.today/company/conocophillips-company
BANCO BRADESCO,168,Brazil,Octavio de Lazari Junior,71.94 Billion USD,"97,329","Financial Services, Banking Services, Asset Management, Insurance, Private Bank",https://value.today/company/banco-bradesco
MITSUBISHI UFJ FINANCIAL GROUP,169,Japan,Hironori Kamezawa,71.90 Billion USD,"112,700","Financial Services, Banking Services, Asset Management, Wealth Management, Credit Cards, Investments, Mortgage",https://value.today/company/mitsubishi-ufj-financial-group
BANCO SANTANDER,170,Spain,Jose Antonio Alvarez,71.79 Billion USD,"196,419","Financial Services, Banking Services, Asset Management, Insurance",https://value.today/company/banco-santander
L'AIR LIQUIDE,171,France,Benoit Potier,70.86 Billion USD,"67,000","Basic Materials, Chemicals, Gas Supply, Engineering Products, Engineering Services",https://value.today/company/lair-liquide
DELOITTE,171,UK,Anders Dons,,"330,000","Business Services, Professional Services, Consulting Services, Accounting and Auditing",https://value.today/company/deloitte
BASF SE,172,Germany,,70.79 Billion USD,"117,628","Basic Materials, Chemicals, Fertilizers, Plastics / Plastic Products, Oil and Gas, Natural Gas Generation, Paints and Coatings",https://value.today/company/basf-se
WULIANGYE YIBIN,173,China,Chen Lin,70.61 Billion USD,"26,200","Consumer Defensive, Alcoholic Beverages, Beverages",https://value.today/company/wuliangye-yibin
THE PNC FINANCIAL SERVICES GROUP,174,USA,William S. Demchak,70.23 Billion USD,"51,918","Financial Services, Banking Services",https://value.today/company/pnc-financial-services-group
VALE,174,Brazil,Eduardo Bartolomeo,70.06 Billion USD,"71,149","Basic Materials, Mining, Metals, Iron and Steel, Copper, Coal Mining, Nickel, Precious Metals",https://value.today/company/vale
CARGILL,174,USA,,,"166,000","Agriculture Products, Agriculture Related, Food Products, Meat / Poultry / Fish / Chicken, Trading",https://value.today/company/cargill
CHUBB,175,Switzerland,Evan G. Greenberg,70.06 Billion USD,"33,000","Financial Services, Insurance",https://value.today/company/chubb
KDDI CORPORATION,176,Japan,,69.17 Billion USD,"44,952","Communication Services, Telecom, Internet Providers, Fixed Line Service, Mobile Services, Fixed Line Service, Television Services, Telecom",https://value.today/company/kddi-corporation
INTUIT,177,USA,Sasan K. Goodarzi,69.11 Billion USD,"10,600","Technology, Software and IT, Software Products",https://value.today/company/intuit
BANK OF NOVA SCOTIA,178,Canada,Brian J. Porter,69.04 Billion USD,"92,001","Financial Services, Banking Services",https://value.today/company/bank-nova-scotia
DOMINION ENERGY,179,USA,Thomas F. Farrell II,68.70 Billion USD,"19,100","Utilities, Electric Utilities, Electricity Generation, Energy, Power Generation, Gas Utilities",https://value.today/company/dominion-energy
DUKE ENERGY CORPORATION,180,USA,Lynn Good,68.54 Billion USD,"28,793","Utilities, Electric Utilities, Electricity Generation, Power Generation, Energy",https://value.today/company/duke-energy-corporation
AXA,181,France,Thomas Buberl,68.46 Billion USD,"120,869","Financial Services, Insurance, Asset Management",https://value.today/company/axa
T-MOBILE US,182,USA,Mike Sievert,68.37 Billion USD,"53,000","Communication Services, Telecom, Mobile Services, Internet Providers, Utilities, Telecom Equipment, Telecom",https://value.today/company/t-mobile-us
INTUITIVE SURGICAL,183,USA,Gary S Guthart,68.35 Billion USD,"8,081","Healthcare, Medical Equipment, HealthCare Products, Robotics",https://value.today/company/intuitive-surgical
EQUINOR ASA,184,Norway,Eldar Saetre,67.45 Billion USD,"21,412","Energy, Oil and Gas, Petrochemicals, Petroleum, Natural Gas Generation, Electricity Generation, Chemicals",https://value.today/company/equinor-asa
S&P GLOBAL,185,USA,Douglas L. Peterson,67.32 Billion USD,"22,500","Financial Services, Investments, Trading, Stock Markets, Trading, Capital Markets",https://value.today/company/sp-global
BLACKSTONE GROUP,186,USA,Stephen A. Schwarzman,66.91 Billion USD,"2,905","Financial Services, Investments, Asset Management",https://value.today/company/blackstone-group
ESSILOR LUXOTTICA,187,France,Hubert Sagnieres,66.78 Billion USD,"150,000","Healthcare, Eyewear, Retail, Consumer Goods, Medical Equipment",https://value.today/company/essilorluxottica
SOUTHERN COMPANY,188,USA,Thomas A. Fanning,66.70 Billion USD,"27,943","Utilities, Electricity Generation, Power Generation, Energy, Natural Gas Generation, Electric Utilities, Gas Utilities, Utilities",https://value.today/company/southern-company
PJSC LUKOIL,189,Russia,Vagit Alekperov,66.23 Billion USD,"101,000","Energy, Oil and Gas, Chemicals, Petrochemicals, Oil Refining, Natural Gas Generation",https://value.today/company/pjsc-lukoil
SAFRAN,190,France,Philippe Petitcolin,65.79 Billion USD,"95,000","Industries, AeroSpace Products, Defense Products, Rockets, Satellites, Drones, Engineering Products, Technology, Machinery Manufacturing, Aerospace and Defense, Manufacturing, Space Products",https://value.today/company/safran
CANADIAN NATIONAL RAILWAY COMPANY,191,Canada,Jean-Jacques Ruest,65.41 Billion USD,"24,381","Industries, Transportation, Freight Transport, Rail Transport, Railway",https://value.today/company/canadian-national-railway-company
TARGET CORPORATION,192,USA,Brian Cornell,64.86 Billion USD,"368,000","Consumer Defensive, Retail, eCommerce, Consumer Services",https://value.today/company/target-corporation
ADIDAS,193,Germany,Kasper Rorsted,64.44 Billion USD,"59,533","Consumer Cyclical, Sports Goods, Footwear, Clothing, Readymade Clothing, Consumer Goods",https://value.today/company/adidas
PRICEWATERHOUSECOOPERS,193,UK,,,"276,000","Professional Services, Consulting Services, Business Services, Accounting and Auditing",https://value.today/company/pricewaterhousecoopers
VINCI,194,France,Xavier Huillard,64.25 Billion USD,"222,397","Industries, Construction, Infrastructure, Construction",https://value.today/company/vinci
VMWARE,195,USA,Patrick P. Gelsinger,64.09 Billion USD,"31,000","Technology, Software and IT, Software Products, Network Hardware and Software, Technology, Software and IT Infrastructure",https://value.today/company/vmware
ZOETIS,196,USA,Kristin C. Peck,63.77 Billion USD,"10,000","Healthcare, Pharmaceutical, Healthcare Service, Animal Health Medicine, Animal Healthcare Companies, HealthCare Products",https://value.today/company/zoetis
TAKEDA PHARMACEUTICAL COMPANY,197,Japan,Christophe Weber,63.55 Billion USD,"49,578","Healthcare, Pharmaceutical, HealthCare Products",https://value.today/company/takeda-pharmaceutical-company
BOSTON SCIENTIFIC CORPORATION,198,USA,Michael F. Mahoney,63.10 Billion USD,"36,000","Healthcare, Medical Equipment, HealthCare Products",https://value.today/company/boston-scientific-corporation
IBERDROLA,199,Spain,Jose Ignacio Sanchez Galan,63.05 Billion USD,"34,580","Utilities, Electric Utilities, Energy",https://value.today/company/iberdrola-0
ALLERGAN,200,Ireland,Brenton L. Saunders,62.84 Billion USD,"17,400","Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",https://value.today/company/allergan
PUBLIX,200,USA,,,"197,000","Retail, Super Markets, Hypermarkets",https://value.today/company/publix
THE CHARLES SCHWAB CORPORATION,201,USA,Paul V. Woolway,62.46 Billion USD,"32,000","Financial Services, Banking Services, Brokerage Services, Asset Management, Investments, Stock Markets, Trading, Capital Markets",https://value.today/company/charles-schwab-corporation
RECRUIT HOLDINGS,202,Japan,Masumi Minegishi,62.23 Billion USD,"45,856","Industries, Internet or Mobile App Based Business, Consulting Services, Technology, Software and IT, Software Products, Outsourcing and Staffing",https://value.today/company/recruit-holdings
ZURICH INSURANCE GROUP AG,203,Switzerland,Mario Greco,62.11 Billion USD,"55,000","Financial Services, Insurance",https://value.today/company/zurich-insurance-group-ag
RAYTHEON COMPANY,204,USA,Thomas A. Kennedy,62.00 Billion USD,"67,000","Industries, Defense Products, Electronics, Missiles, Weapons, Sensors, Machinery Manufacturing, Capital Goods, Manufacturing",https://value.today/company/raytheon-company
MICRON TECHNOLOGY,205,USA,Sanjay Mehrotra,61.70 Billion USD,"40,000","Technology, Semi Conductors, Electronics, Technology Hardware, Memory Products",https://value.today/company/micron-technology
FAST RETAILING,206,Japan,Tadashi Yanai,61.58 Billion USD,"56,500","Consumer Cyclical, Retail, Clothing",https://value.today/company/fast-retailing
ENTERPRISE PRODUCTS PARTNERS,207,USA,A. James Teague,61.47 Billion USD,"7,000","Energy, Oil and Gas, Oil Refining, Petrochemicals, Gas Utilities, Natural Gas Generation, Utilities, Chemicals",https://value.today/company/enterprise-products-partners
NOVATEK,208,Russia,Leonid Viktorovich Mikhelson,61.32 Billion USD,"13,694","Energy, Oil and Gas, Natural Gas Generation, Petroleum",https://value.today/company/novatek
DAIMLER AG,209,Germany,Ola Kallenius,61.30 Billion USD,"298,655","Consumer Cyclical, Automobile, Cars, Trucks, Commercial Vehicles",https://value.today/company/daimler-ag
JD.COM,210,China,Liu Qiangdong,60.89 Billion USD,"227,730","Consumer Cyclical, eCommerce, Internet or Mobile App Based Business, Retail, Consumer Services",https://value.today/company/jd.com
SIMON PROPERTY GROUP,211,USA,David Simon,60.88 Billion USD,"4,500","Real Estate, Property Investments, Commercial Properties, Consumer Services, Investments, Retail",https://value.today/company/simon-property-group
PSBC (POSTAL SAVINGS BANK OF CHINA),211,China,Lv Jiajin,60.81 Billion USD,"174,406","Financial Services, Banking Services",https://value.today/company/psbc-postal-savings-bank-china
WESTPAC BANKING CORPORATION,212,"Australia, New Zealand",Peter King,60.60 Billion USD,"36,849","Financial Services, Banking Services, Asset Management, Wealth Management, Credit Cards",https://value.today/company/westpac-banking-corporation
PT BANK CENTRAL ASIA TBK,213,Indonesia,Jahja Setiaatmadja,60.29 Billion USD,"24,789","Financial Services, Banking Services, Credit Cards",https://value.today/company/pt-bank-central-asia-tbk-0
COLGATE-PALMOLIVE COMPANY,214,USA,Noel R. Wallace,59.95 Billion USD,"34,300","Consumer Defensive, FMCG, Personal Care Products, Consumer Non Durables",https://value.today/company/colgate-palmolive-company
NORTHROP GRUMMAN CORPORATION,215,USA,Kathy Warden,59.88 Billion USD,"97,000","Industries, AeroSpace Products, Defense Products, Electronics, Space Products, Missiles, Satellites, Sensors, Rockets, Machinery Manufacturing, Software and IT, Software Products, Capital Goods, Aerospace and Defense, Manufacturing",https://value.today/company/northrop-grumman-corporation
HDFC,216,India,Aditya Puri,59.70 Billion USD,"2,840","Financial Services, Banking Services, Asset Management, Insurance",https://value.today/company/hdfc
CROWN CASTLE INTERNATIONAL CORPORATION,217,USA,Jay A. Brown,58.92 Billion USD,"5,100","Real Estate, Infrastructure, Cell Towers Infrastructure, Consumer Services",https://value.today/company/crown-castle-international-corporation
INDUSTRIAL BANK,218,China,"Doyle Mitchell, Jr.",58.78 Billion USD,"63,044","Financial Services, Banking Services",https://value.today/company/industrial-bank
LLOYDS BANKING GROUP,219,UK,Antonio Horta-Osorio,58.76 Billion USD,"65,000","Financial Services, Banking Services",https://value.today/company/lloyds-banking-group
HINDUSTAN UNILEVER,220,India,Sanjiv Mehta,58.44 Billion USD,"21,000","Consumer Defensive, FMCG, Food Products, Personal Care Products, Consumer Goods",https://value.today/company/hindustan-unilever
MIDEA GROUP,221,China,Paul Fang,58.28 Billion USD,"134,897","Technology, Electrical Products, Refrigerators, Electronics",https://value.today/company/midea-group
BROOKFIELD ASSET MANAGEMENT,222,Canada,Bruce Flatt,58.25 Billion USD,"150,000","Financial Services, Investments, Property Investments, Asset Management, Consumer Services",https://value.today/company/brookfield-asset-management
RECKITT BENCKISER GROUP,223,UK,Laxman Narasimhan,57.94 Billion USD,"37,756","Consumer Defensive, FMCG, HealthCare Products, Consumer Non Durables, Consumer Goods",https://value.today/company/reckitt-benckiser-group
BANK OF COMMUNICATIONS,224,China,Deqi Ren,57.91 Billion USD,"87,828","Financial Services, Banking Services",https://value.today/company/bank-communications
ILLINOIS TOOL WORKS,225,USA,Ernest Scott Santi,57.75 Billion USD,"45,000","Industries, Machinery Manufacturing, Automobile Parts, Home Appliances, Electrical Products, Electronics, Adhesives, Technology, Construction Materials, Automobile, Manufacturing, Industry Machinery",https://value.today/company/illinois-tool-works
SCHNEIDER ELECTRIC,226,France,Jean-Pascal Tricoire,57.46 Billion USD,"135,000","Power Equipment, Automation, Building Automation, Industrial Automation, Industrial Electrical Electronics, Power Management Tools, Tools, Industry Machinery",https://value.today/company/schneider-electric
VERTEX PHARMACEUTICALS,227,USA,Reshma Kewalramani,57.25 Billion USD,"3,400","Healthcare, Pharmaceutical, Biotechnology, BioPharmaceuticals, HealthCare Products, Technology",https://value.today/company/vertex-pharmaceuticals
GREE ELECTRIC APPLIANCES,228,China,Dong Mingzhu,57.18 Billion USD,"88,846","Technology, Electrical Products, Electronics, Air Conditioners, Home Appliances, Refrigerators, Mobiles, Mobiles & Accessories, Electronics",https://value.today/company/gree-electric-appliances
APPLIED MATERIALS,229,USA,Gary E. Dickerson,57.11 Billion USD,"24,000","Power Equipment, Mobiles & Accessories, Semi Conductors",https://value.today/company/applied-materials
ENI S.P.A.,230,Italy,Claudio Descalzi,56.98 Billion USD,"32,053","Energy, Oil and Gas, Natural Gas Generation, Petroleum, Electricity Generation, Oil Refining, Power Generation, Nuclear Power",https://value.today/company/eni-s.p..
CHINA YANGTZE POWER,231,China,Lei Mingshan,56.89 Billion USD,"4,130","Utilities, Electricity Generation, Electric Utilities, Energy",https://value.today/company/china-yangtze-power
SCHLUMBERGER,232,USA,Olivier Le Peuch,56.81 Billion USD,"105,000","Energy, Oil and Gas, Oil Field Services",https://value.today/company/schlumberger
MARSH & MCLENNAN COMPANIES,233,USA,Daniel S. Glaser,56.53 Billion USD,"76,000","Financial Services, Healthcare Service, Insurance, Investments",https://value.today/company/marsh-mclennan-companies
CSX CORPORATION,234,USA,James M. Foote,56.45 Billion USD,"19,300","Industries, Rail Transport, Real Estate, Transportation, Railway",https://value.today/company/csx-corporation
PROLOGIS,235,USA,Hamid Moghadam,56.23 Billion USD,"1,712","Real Estate, Property Investments, Investments, Consumer Services",https://value.today/company/prologis
ADVANCED MICRO DEVICES (AMD),236,USA,Lisa Su,55.86 Billion USD,"12,600","Technology, Technology Hardware, Processors / Chips, Semi Conductors, Electronics",https://value.today/company/advanced-micro-devices
SK HYNIX,237,South Korea,Lee Seok-Hee,55.71 Billion USD,"33,000","Technology, Semi Conductors, Electronics, Memory Products, Processors / Chips, Technology Hardware",https://value.today/company/sk-hynix
GENERAL DYNAMICS CORPORATION,238,USA,Phebe Novakovic,55.62 Billion USD,"104,000","Industries, AeroSpace Products, Defense Products, Aeroplane, Weapons, Security Systems, Weapons, Marine Systems, Marine Transportation, Transportation, Capital Goods, Aerospace and Defense, Space Products",https://value.today/company/general-dynamics-corporation
ECOLAB,239,USA,"Douglas M. Baker, Jr",55.33 Billion USD,"50,200","Basic Materials, Chemicals, Scientific Research Products, Professional Services",https://value.today/company/ecolab
DEERE & COMPANY,240,USA,John C. May,55.32 Billion USD,"69,600","Industries, Agriculture Machinery, Construction Equipment, Commercial Vehicles, Engineering Products, Automobile, Machinery Manufacturing, Capital Goods, Manufacturing, Heavy Machinery",https://value.today/company/deere-company
GLOBAL PAYMENTS,241,USA,Jeffrey S. Sloan,55.30 Billion USD,"24,000","Industries, Digital Payment Solution Services, Software and IT, Software Products, Business Services",https://value.today/company/global-payments
NATIONAL AUSTRALIA BANK,242,Australia,Ross McEwan,55.27 Billion USD,"34,841","Financial Services, Banking Services",https://value.today/company/national-australia-bank
SAUDI TELECOM COMPANY (STC),243,Saudi Arabia,Nasser bin Suleiman Al-Nasser,54.76 Billion USD,"17,000","Communication Services, Telecom, Telecom",https://value.today/company/saudi-telecom-company-stc-0
SERVICENOW,244,USA,Bill McDermott,54.61 Billion USD,"11,000","Technology, Cloud Services, Software and IT, Software Products, Artificial Intelligence",https://value.today/company/servicenow
SHERWIN-WILLIAMS COMPANY,245,USA,John G. Morikis,54.38 Billion USD,"61,111","Basic Materials, Paints and Coatings, Construction Materials, Retail, Consumer Services, Chemicals",https://value.today/company/sherwin-williams-company
ERNST & YOUNG,245,UK,,,"270,000","Financial Services, Consulting Services, Business Services, Professional Services, Accounting and Auditing",https://value.today/company/ernst-young
LAS VEGAS SANDS CORP,246,USA,Sheldon Adelson,54.38 Billion USD,"51,500","Consumer Cyclical, Hotels, Consumer Services",https://value.today/company/las-vegas-sands-corp
JIANGSU HENGRUI MEDICINE,247,China,,54.29 Billion USD,"24,500","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Technology",https://value.today/company/jiangsu-hengrui-medicine
AMERICA MOVIL,248,Mexico,Daniel Hajj Aboumrad,54.24 Billion USD,"191,523","Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers, Television Services, Internet of Things, Utilities, Telecom Equipment, Telecom",https://value.today/company/america-movil
BAYERISCHE MOTOREN WERKE (BMW),249,Germany,,54.03 Billion USD,"133,778","Consumer Cyclical, Automobile, Cars",https://value.today/company/bayerische-motoren-werke
CHINA VANKE,250,China,Yu Liang,53.83 Billion USD,"131,505","Real Estate, Construction",https://value.today/company/china-vanke
DANONE,251,Switzerland,Emmanuel Faber,53.72 Billion USD,"102,449","Consumer Defensive, FMCG, Food Products, Non-Alcoholic Beverages, Beverages, Dairy Products, Food and Beverage, Package Foods",https://value.today/company/danone
GENERAL MOTORS COMPANY,252,USA,Mary Barra,53.41 Billion USD,"155,000","Consumer Cyclical, Automobile, Cars, Automobile Parts, Capital Goods",https://value.today/company/general-motors-company
ABB,253,Switzerland,Bjorn Rosengren,53.28 Billion USD,"147,000","Industries, Electronics, Electrical Products, Engineering Products, Technology Hardware, Automation, Robotics, Consumer Durables, Technology",https://value.today/company/abb
WALGREENS BOOTS ALLIANCE,254,USA,Stefano Pessina,53.05 Billion USD,"342,000","Healthcare, Pharmacy, Healthcare Service, Retail, HealthCare Products",https://value.today/company/walgreens-boots-alliance
BAIDU,255,China,Robin Li,53.03 Billion USD,"37,779","Communication Services, Internet or Mobile App Based Business, Software and IT, Software Products, Artificial Intelligence, Advertising, Media, Technology, Social Media",https://value.today/company/baidu
WAL-MART DE MEXICO,256,Mexico,Guilherme Loureiro,52.75 Billion USD,"239,000","Consumer Defensive, Retail, Super Markets, Hypermarkets",https://value.today/company/wal-mart-de-mexico
ALDI,256,Germany,,,"25,000","Retail, Super Markets, Hypermarkets",https://value.today/company/aldi
MERCK KGAA O.N.,257,Germany,Stefan Oschmann,52.68 Billion USD,"57,036","Healthcare, Pharmaceutical, Chemicals, HealthCare Products",https://value.today/company/merck-kgaa-o.n.
BANK OF MONTREAL,258,Canada,Darryl White,52.61 Billion USD,"43,360","Financial Services, Banking Services",https://value.today/company/bank-montreal
TC ENERGY CORPORATION,259,Canada,Russell K. Girling,52.32 Billion USD,"7,000","Energy, Oil and Gas, Infrastructure, Electricity Generation, Power Generation, Natural Gas Generation, Oil and Gas Pipeline Transport, Utilities, Gas Utilities, Electric Utilities",https://value.today/company/tc-energy-corporation
VODAFONE GROUP,260,UK,Nick Read,51.93 Billion USD,"98,996","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Utilities, Telecom Equipment, Telecom",https://value.today/company/vodafone-group
CHINA SHENHUA ENERGY COMPANY,261,China,Yang Jiping,51.62 Billion USD,"75,620","Energy, Mining, Coal Mining",https://value.today/company/china-shenhua-energy-company
